Filled by,تم التعبئة بواسطة,
System Name,اسم النظام,
Is there a system?,هل هناك نظام؟,
Location,الموقع,
The Neighborhood,الحي,
City,المدينة,
Email,البريد الإلكتروني,
Mobile Number,رقم الجوال,
Contact Name,اسم جهة الاتصال,
Store Name,اسم المتجر,
Business Type,نوع العمل,
"Save","حفظ"
"Survey for Artists","استبيان للفنانين"
"Art Zone","منطقة الفن"
"Full Name","الاسم الكامل"
"Phone Number","رقم الهاتف"
"City","مدينة"
"Main Specialty","التخصص الرئيسي"
"Photographer","مصور"
"Makeup Artist","مكياج ارتست"
"Hairdresser","مصفف شعر"
"Model","مودل"
"Bridesmaid","وصيفة عروس"
"Other","آخر"
"Experience in the field (in years)","الخبرة في المجال (بالسنوات)"
"Less than a year","أقل من سنة"
"1 to 3 years","1 إلى 3 سنوات"
"4 to 6 years","4 إلى 6 سنوات"
"More than 6 years","أكثر من 6 سنوات"
"Do you deal with fixed or negotiable prices?","هل تتعامل بأسعار ثابتة أم قابلة للتفاوض؟"
"Fixed prices","أسعار ثابتة"
"Negotiable","قابل للتفاوض"
"Service details and prices","تفاصيل الخدمة والأسعار"
"Subspecialty","التخصص الفرعي"
"What is the average price for your service?","ما هو متوسط سعر خدمتك؟"
"Less than 500 SAR","أقل من 500 ريال"
"500 to 1000 SAR","500 إلى 1000 ريال"
"1000 to 2000 SAR","1000 إلى 2000 ريال"
"More than 2000 SAR","أكثر من 2000 ريال"
"Do prices vary based on client type (personal/business)?","هل تختلف الأسعار حسب نوع العميل (شخصي/تجاري)؟"
"Yes","نعم"
"No","لا"
"App Experience","تجربة التطبيق"
"What features do you value most in the app?","ما الميزات التي تقدرها أكثر في التطبيق؟"
"Appointment Management","إدارة المواعيد"
"Order Management","إدارة الطلبات"
"Customer Communication","التواصل مع العملاء"
"View Portfolio","عرض المحفظة"
"What features do you find lacking or need improvement?","ما الميزات التي تجدها ناقصة أو تحتاج إلى تحسين؟"
"Do you find the app interface easy to use?","هل تجد واجهة التطبيق سهلة الاستخدام؟"
"What did you like most about the app?","ما الذي أعجبك أكثر في التطبيق؟"
"What is the most annoying in the app?","ما هو الأكثر إزعاجا في التطبيق؟"